Month,Year,Province_Type,Revenue (Million Baht),Corrected Data
สิงหาคม,2566,นนทบุรี,ชาวต่างชาติ,48.71,
กันยายน,2566,นนทบุรี,ชาวต่างชาติ,34.02,
ตุุลาคม,2566,นนทบุรี,ชาวต่างชาติ,38.39,
พฤศจิกายน,2566,นนทบุรี,ชาวต่างชาติ,39.02,
ธันวาคม,2566,นนทบุรี,ชาวต่างชาติ,43.15,
มกราคม,2567,นนทบุรี,ชาวไทย,488.42,
กุมภาพันธ์,2567,นนทบุรี,ชาวไทย,501.81,
มีนาคม,2567,นนทบุรี,ชาวไทย,546.77,
เมษายน,2567,นนทบุรี,ชาวไทย,556.9,
พฤษภาคม,2567,นนทบุรี,ชาวไทย,509.26,
มกราคม,2567,นนทบุรี,ชาวต่างชาติ,42.08,
กุมภาพันธ์,2567,นนทบุรี,ชาวต่างชาติ,52.69,
มีนาคม,2567,นนทบุรี,ชาวต่างชาติ,60.33,
เมษายน,2567,นนทบุรี,ชาวต่างชาติ,76.77,
พฤษภาคม,2567,นนทบุรี,ชาวต่างชาติ,46.35,
